zpid,streetAddress,city,latitude,longitude,bedrooms,bathrooms,price,yearBuilt,homeStatus,homeType,livingArea,lotSize,daysOnZillow,zestimate,rentZestimate,lastSoldPrice,dateSold,taxAssessedValue,hoaFee,propertyTaxRate
50041936,409 Thornwood Rd,Chapel Hill,35.935585,-79.01012,4.0,2.0,610700,1957.0,OTHER,SINGLE_FAMILY,2368.0,15245.0,7145.0,610700.0,2460.0,315000.0,2005-09-01,348600.0,0.0,0.84
251560427,100 Apple St,Chapel Hill,35.951443,-79.045944,3.0,1.0,433600,1964.0,OTHER,SINGLE_FAMILY,1066.0,21780.0,1350.0,433600.0,1784.0,335000.0,2021-07-14,263300.0,0.0,0.84
50040560,1094 Burning Tree Dr,Chapel Hill,35.912643,-79.01954,5.0,5.0,1534100,1971.0,OTHER,SINGLE_FAMILY,4344.0,41817.0,1652.0,1534100.0,4856.0,925000.0,2020-09-15,916800.0,0.0,0.84
50035623,112 Eastgreen Dr,Chapel Hill,35.8846,-79.064354,3.0,2.5,749500,1995.0,OTHER,SINGLE_FAMILY,2078.0,4356.0,4655.0,749500.0,2794.0,405000.0,2012-06-26,445100.0,0.0,0.84
50034689,1903 Pathway Dr,Chapel Hill,35.927387,-79.0859,3.0,3.0,535800,1989.0,OTHER,SINGLE_FAMILY,1466.0,10454.0,1492.0,535800.0,2655.0,388000.0,2021-02-22,329300.0,0.0,0.84
60076537,102 Rowe Rd,Chapel Hill,35.960945,-79.06458,4.0,3.5,754300,2001.0,OTHER,SINGLE_FAMILY,3111.0,10018.0,8341.0,754300.0,3678.0,364500.0,2002-05-24,477200.0,0.0,0.84
49997464,12 Balthrope Pl,Chapel Hill,35.89307,-79.000916,5.0,4.0,661400,1996.0,OTHER,SINGLE_FAMILY,2846.0,9583.0,1223.0,661400.0,3110.0,530000.0,2021-11-18,374414.0,193.0,0.72
50041541,1400 Wildwood Dr,Chapel Hill,35.92538,-79.01555,4.0,3.0,688000,1965.0,OTHER,SINGLE_FAMILY,2505.0,22651.0,5639.0,688000.0,4267.0,340000.0,2009-10-16,356600.0,0.0,0.84
50050030,1 Martha Ln,Chapel Hill,35.95256,-79.04467,3.0,2.0,621200,1979.0,OTHER,SINGLE_FAMILY,2319.0,20037.0,8225.0,621200.0,3086.0,265000.0,2002-09-17,375700.0,0.0,0.84
50035489,1903 Clearwater Lake Rd,Chapel Hill,35.86298,-79.04618,3.0,2.0,555000,1977.0,OTHER,SINGLE_FAMILY,1837.0,78843.0,13749.0,555000.0,2291.0,143000.0,1987-08-03,316400.0,0.0,0.84
50047817,213 Chesapeake Way,Chapel Hill,35.949074,-79.07329,3.0,2.5,602500,1998.0,OTHER,SINGLE_FAMILY,1908.0,10890.0,9735.0,602500.0,2711.0,210500.0,1998-07-30,346300.0,0.0,0.84
50051992,100 River Birch Ln,Chapel Hill,35.95134,-79.017944,5.0,3.0,783000,1995.0,RECENTLY_SOLD,SINGLE_FAMILY,2904.0,10018.0,190.0,789000.0,3264.0,783000.0,2024-09-16,512000.0,66.0,0.84
251693398,1004 Mocker Nut Ln,Chapel Hill,35.865192,-79.07106,4.0,4.0,1041700,2014.0,OTHER,SINGLE_FAMILY,3522.0,39204.0,1513.0,1041700.0,4206.0,745000.0,2021-02-01,640800.0,78.0,0.84
87750467,108 Baynes Ct,Chapel Hill,35.89366,-78.9794,5.0,4.0,1018700,2007.0,OTHER,SINGLE_FAMILY,3462.0,21344.0,6437.0,1018700.0,3626.0,620000.0,2007-08-10,592734.0,60.0,0.72
50031729,109 Ivy Brook Ln,Chapel Hill,35.892548,-79.07254,4.0,2.5,670100,1994.0,OTHER,SINGLE_FAMILY,2304.0,20473.0,9038.0,670100.0,2956.0,278000.0,2000-06-26,395300.0,0.0,0.84
80204875,224 Cedar Club Cir #204,Chapel Hill,35.90738,-79.006294,2.0,2.0,527400,2003.0,OTHER,CONDO,1517.0,,1393.0,527400.0,2210.0,420000.0,2021-06-01,362350.0,0.0,0.72
50040823,102 Red Cedar Pl,Chapel Hill,35.939186,-79.02917,3.0,3.0,584400,1992.0,OTHER,SINGLE_FAMILY,1874.0,9583.0,4341.0,584400.0,2569.0,296500.0,2013-05-06,375600.0,0.0,0.84
50042018,208 Scarlett Dr,Chapel Hill,35.94179,-79.01152,3.0,1.0,290000,1945.0,RECENTLY_SOLD,SINGLE_FAMILY,954.0,13068.0,4.0,290000.0,1593.0,290000.0,2025-03-21,188600.0,0.0,0.84
49997046,1 Dartford Ct,Chapel Hill,35.908813,-78.987656,1.0,1.0,263100,1982.0,OTHER,TOWNHOUSE,1008.0,2613.0,7918.0,263100.0,1376.0,107500.0,2003-07-21,166378.0,279.0,0.72
